id,ts,country,cat,value
0,2024-02-02,IN,C,91.82
1,2024-10-09,IN,A,121.06
2,2024-08-26,GB,C,84.26
3,2024-06-09,IL,C,107.41
4,2024-06-07,DE,C,112.81
5,2024-11-09,DE,A,104.51
6,2024-02-01,US,B,110.15
7,2024-09-11,GB,A,126.73
8,2024-03-14,FR,A,108.84
9,2024-02-04,DE,A,72.56
10,2024-07-11,US,C,99.41
11,2024-12-22,US,A,107.73
12,2024-09-25,GB,C,118.61
13,2024-10-04,US,A,105.94
14,2024-09-18,US,B,104.4
15,2024-10-13,DE,B,110.84
16,2024-07-06,FR,A,105.23
17,2024-02-16,US,B,86.53
18,2024-11-02,US,A,117.62
19,2024-06-13,GB,A,89.08
20,2024-07-01,IN,B,75.9
21,2024-05-15,IL,B,104.79
22,2024-03-07,GB,B,89.28
23,2024-12-04,US,C,102.38
24,2024-10-12,FR,B,78.73
25,2024-08-23,DE,A,101.98
26,2024-05-26,GB,C,94.56
27,2024-10-27,GB,C,97.84
28,2024-07-18,US,A,102.06
29,2024-06-10,US,C,96.69
30,2024-06-13,GB,C,89.24
31,2024-03-23,US,B,81.36
32,2024-02-03,FR,C,106.84
33,2024-07-21,IL,A,89.46
34,2024-11-20,US,A,76.92
35,2024-01-24,FR,A,92.72
36,2024-11-09,IL,A,89.7
37,2024-10-29,GB,B,91.6
38,2024-04-11,US,A,114.19
39,2024-08-18,US,A,85.91
40,2024-03-01,US,A,126.05
41,2024-10-03,US,A,99.81
42,2024-09-12,FR,C,93.66
43,2024-05-09,IL,C,118.74
44,2024-01-25,US,A,97.63
45,2024-12-20,IN,B,92.77
46,2024-06-11,US,B,97.0
47,2024-11-21,IL,B,155.67
48,2024-09-04,GB,A,59.28
49,2024-10-11,FR,A,100.17
50,2024-10-04,US,A,116.7
51,2024-03-12,IN,B,106.46
52,2024-05-12,DE,A,106.38
53,2024-06-19,US,B,112.55
54,2024-06-30,US,B,111.53
55,2024-01-16,IN,B,96.51
56,2024-07-18,US,B,112.2
57,2024-02-26,GB,A,101.58
